,lat,lon,city,style,building_type,cooling_type,heating_type,price,number_of_beds,number_of_baths,extra_space,fire_place
505,42.1013315,-83.1086458,Amherstburg,Detached,House,Central air conditioning,Forced air,259900.0,2,1,0,0
506,43.8563707,-79.3376825,Markham,Detached,House,Central air conditioning,Forced air,2980000.0,4,5,1,1
507,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,2850000.0,4,5,1,1
508,43.710815,-79.418648,Toronto,Semi-Detached,House,Central air conditioning,Forced air,2679000.0,3,4,1,1
509,43.447436,-79.666672,Oakville,Detached,House,Central air conditioning,Forced air,2199000.0,4,4,0,1
510,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,2199000.0,4,4,1,1
511,43.8801166,-79.4392925,Richmond Hill,Detached,House,Central air conditioning,Forced air,2188000.0,4,4,1,1
512,43.7941544,-79.5268023,Vaughan,Detached,House,Central air conditioning,Forced air,2048000.0,5,5,1,1
513,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,1999000.0,4,4,1,1
514,43.71275,-79.406626,Toronto,Detached,House,Central air conditioning,Forced air,1995000.0,3,3,1,1
515,43.646081,-79.576748,Toronto,Detached,House,Central air conditioning,Forced air,1950000.0,5,4,1,1
516,43.3248924,-79.7966835,Burlington,Detached,House,Central air conditioning,Forced air,1899999.0,4,4,1,1
517,43.671561,-79.403274,Toronto,Detached,House,Central air conditioning,Forced air,1799000.0,3,4,1,1
518,43.5460516,-80.2493276,Guelph,Detached,House,Central air conditioning,Forced air,1775000.0,5,4,0,1
519,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1749900.0,4,4,1,1
520,43.99973,-79.467545,Aurora,Detached,House,Central air conditioning,Forced air,1699000.0,4,4,0,1
521,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1699000.0,4,3,0,1
522,43.5896231,-79.6443879,Mississauga,Semi-Detached,House,Central air conditioning,Forced air,1688888.0,3,4,0,1
523,43.5904294,-79.5433932,Toronto,Detached,House,Central air conditioning,Forced air,1649900.0,4,4,0,1
524,43.665276,-79.438009,Toronto,Semi-Detached,House,Central air conditioning,Forced air,1639000.0,3,4,1,1
525,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,1599000.0,3,3,0,1
526,43.3248924,-79.7966835,Burlington,Detached,House,Central air conditioning,Forced air,1595000.0,2,2,0,0
527,43.99973,-79.467545,Aurora,Detached,House,Central air conditioning,Forced air,1549000.0,4,5,1,1
528,43.447436,-79.666672,Oakville,Detached,House,Central air conditioning,Forced air,1536000.0,2,4,1,1
529,45.4208777,-75.6901106,Ottawa,Semi-Detached,House,Central air conditioning,Forced air,1535000.0,3,4,1,0
530,43.3248924,-79.7966835,Burlington,Detached,House,Central air conditioning,Forced air,1499000.0,3,2,1,1
531,43.713691,-79.389435,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1499000.0,3,3,1,0
532,43.67089,-79.316931,Toronto,Semi-Detached,House,Central air conditioning,Forced air,1499000.0,4,2,0,1
533,44.14125,-79.395028,East Gwillimbury,Detached,House,Central air conditioning,Forced air,1468000.0,5,4,1,1
534,43.3248924,-79.7966835,Burlington,Detached,House,Central air conditioning,Forced air,1399900.0,3,2,1,0
535,43.7174721,-80.68926371473657,Mapleton,Detached,House,Central air conditioning,Forced air,1399000.0,3,2,0,1
536,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1399000.0,3,2,1,1
537,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1388000.0,4,4,1,1
538,44.3893113,-79.6901736,Barrie,Detached,House,Central air conditioning,Forced air,1386000.0,5,5,1,1
539,43.7941544,-79.5268023,Vaughan,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1386000.0,4,4,0,0
540,43.8975558,-78.8635324,Oshawa,Detached,House,Central air conditioning,Forced air,1374900.0,3,3,1,0
542,43.713691,-79.389435,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1349000.0,3,3,1,0
543,43.801685,-79.32186,Toronto,Detached,House,Central air conditioning,Forced air,1299900.0,3,4,1,1
544,43.8801166,-79.4392925,Richmond Hill,Detached,House,Central air conditioning,Forced air,1299000.0,4,3,0,1
545,43.447436,-79.666672,Oakville,Detached,House,Central air conditioning,Forced air,1299000.0,3,3,0,1
546,43.6858146,-79.7599337,Brampton,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1299000.0,4,4,0,0
547,43.751661,-79.447657,Toronto,Detached,House,Central air conditioning,Forced air,1299000.0,3,2,1,0
548,43.650005,-79.482809,Toronto,Semi-Detached,House,Central air conditioning,Forced air,1298000.0,3,2,0,0
549,43.7941544,-79.5268023,Vaughan,Detached,House,Central air conditioning,Forced air,1298000.0,4,3,0,1
550,43.7941544,-79.5268023,Vaughan,Detached,House,Central air conditioning,Forced air,1298000.0,3,3,0,1
551,44.097441700000005,-78.04760303007441,Alnwick/Haldimand,Detached,House,Central air conditioning,Forced air,1295000.0,3,3,1,1
552,43.7941544,-79.5268023,Vaughan,Detached,House,Central air conditioning,Forced air,1290000.0,4,3,0,0
553,43.648806,-79.413855,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1279000.0,2,2,1,0
554,43.687783,-79.450978,Toronto,Detached,House,Central air conditioning,Forced air,1275000.0,3,2,1,1
555,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,1249999.0,3,2,1,0
556,43.621861,-79.943877,Halton Hills,Detached,House,Wall unit,Forced air,1249000.0,3,2,0,1
557,43.447436,-79.666672,Oakville,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1225000.0,4,4,0,0
558,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1200000.0,4,4,0,0
